ProductID,Description,Size,Volume,Classification
25742,Jadot Combe Aux Jacques Bjls,750mL,750.0,2
25747,Riojana Cab Svgn,750mL,750.0,2
25750,Moulin Gassac Guilhm Rose 15,750mL,750.0,2
25758,Angels Landing Svgn Bl,750mL,750.0,2
25759,Angels Landing Pnt Nr Sonoma,750mL,750.0,2
25771,Juve y Camps Sweet Rsva Spar,750mL,750.0,2
25785,The White Knight Prosecco,750mL,750.0,2
25791,Girasole Pnt Nr,750mL,750.0,2
25792,Girasole Cab Svgn,750mL,750.0,2
25794,Girasole Hybrid Red,750mL,750.0,2
25800,Acacia Winery Chard Carneros,750mL,750.0,2
25801,Acacia Winery Pnt Nr Carnero,750mL,750.0,2
25827,Angeline Cab Svgn California,750mL,750.0,2
25834,Dry Creek Chard Sonoma Cnty,750mL,750.0,2
25837,Dry Creek Merlot,750mL,750.0,2
25852,Dom Serene Rose,1.5L,1500.0,2
25859,Handsome Devil Cab Svgn,750mL,750.0,2
25898,Alexana Willamette Chard,750mL,750.0,2
25904,Casal Garcia Sangria,750mL,750.0,2
25919,Hogue Clrs Merlot Wash,750mL,750.0,2
25926,Outlier Pnt Nr,750mL,750.0,2
25930,Bieler Pere et Fils Rose,750mL,750.0,2
25940,Wine Cube Chard,3L,3000.0,2
25941,Wine Cube Cab Svgn,3L,3000.0,2
25997,Vista Point Chard,750mL,750.0,2
26003,Notorious Pink Grenache Rose,750mL,750.0,2
26008,Silver Palm Pnt Nr CC,750mL,750.0,2
26032,Ferrari Carano Prevail,750mL,750.0,2
26058,Matua Rose Wine,750mL,750.0,2
26075,Intrinsic Cab Svgn,750mL,750.0,2
26077,Ninety+Cellars Lot 129 Znfdl,750mL,750.0,2
26082,Casal Garcia Duoro Red,750mL,750.0,2
26084,Gravel Bar Cab Svgn Columbia,750mL,750.0,2
26085,Skyfall Cab Svgn,750mL,750.0,2
26156,Pino Pnt Nr Oregon,750mL,750.0,2
26167,KJ Jackson Est Cab Svgn Alex,750mL,750.0,2
26183,Schucks North Cst Chard,750mL,750.0,2
26198,Chronic Cellars Pink Pedals,750mL,750.0,2
26199,Chronic Cellars Eunice X,750mL,750.0,2
26203,Jas Des Vignes 15 Rose,750mL,750.0,2
26204,Dom de La Foret 15 Rose,750mL,750.0,2
26205,Memoires 15 Rose,750mL,750.0,2
26223,Jarvis Chard Finch Hollow Un,750mL,750.0,2
26225,Jarvis Cab Svgn Napa,750mL,750.0,2
26235,Margaret's Chard,750mL,750.0,2
26238,Margaret's Cab Svgn,750mL,750.0,2
26257,Luce Brunello Montalcino 11,750mL,750.0,2
26269,Dom Anderson Chard,750mL,750.0,2
26278,Freixenet Cordon Negro,187mL 3 Pk,560.0,2
26283,Benton-Lane Est Pnt Nr Willm,375mL,375.0,2
26287,DeWetshof Bon Vallon Chard,750mL,750.0,2
26298,Mont Gravet Rose,750mL,750.0,2
26300,Brooks Rsl Willamette,750mL,750.0,2
26303,Brooks Pnt Nr Willamette,750mL,750.0,2
26314,OTWC Pnt Nr Willamete Vly,750mL,750.0,2
26336,Canella Rose Brut,187mL,187.0,2
26344,A to Z Rsl,750mL,750.0,2
26354,Le Cengle CdProvence Rose,750mL,750.0,2
26357,Storypoint Cab Svgn,750mL,750.0,2
26361,Prophecy Red Blend,750mL,750.0,2
26376,Orin Swift Palermo Cab Svgn,750mL,750.0,2
26378,Fragile Rose VDP Catalanes,750mL,750.0,2
26380,Orin Swift Abstract Red,750mL,750.0,2
26405,Simi Dry Rose Sonoma Cnty,750mL,750.0,2
26517,Altocedro Finca Tanos Malbec,750mL,750.0,2
26561,Zardetto Private Cuvee Glara,750mL,750.0,2
26562,Zardetto Private Cuvee Glara,187mL,187.0,2
26567,Ninety+Cellars Lot 130 Chard,750mL,750.0,2
26568,Ninety+Cellars Lot 131 PN RV,750mL,750.0,2
26569,Ninety+Cellars Lot 132 Rose,750mL,750.0,2
26570,Schlosskellerei Gobelsbrg Rs,750mL,750.0,2
26591,Ninety+Cellars Lot 50 Prosec,187mL 3 Pk,560.0,2
26611,Pull Eighty Pnt Nr,750mL,750.0,2
26621,Ghostwriter Cab Svgn Bates,750mL,750.0,2
26625,Maz Caz Rose,750mL,750.0,2
26627,Maz Caz Blanc,750mL,750.0,2
26666,C K Mondavi Merlot,750mL,750.0,2
26672,Tridente Tempranillo Castila,750mL,750.0,2
26677,Feudi D San Gregorio Serpico,750mL,750.0,2
26682,Feudi d San Gregorio Patrimo,750mL,750.0,2
26686,Dom Faiveley Chamber 14 Beze,750mL,750.0,2
26707,Faustino Gr Rsva Rioja,750mL,750.0,2
26713,Victor Hugo Les Mis Rose,750mL,750.0,2
26735,It's a Headsnapper Prosecco,750mL,750.0,2
26740,Carpineto Rosso Toscano,750mL,750.0,2
26769,Fire & Flood The Flood Pnt N,750mL,750.0,2
26781,Mer Soliel Reserve Chard SB,750mL,750.0,2
26826,Pellegrino Marsala Sweet,750mL,750.0,2
26840,Josh Cellars Cab Svgn Paso R,750mL,750.0,2
26845,Stillman St Chard,750mL,750.0,2
26846,Josh Cellars Craftsman Chard,750mL,750.0,2
26847,Josh Cellars Craftsman Cab S,750mL,750.0,2
26868,Olivier Chanzy Nuits St Geor,750mL,750.0,2
26896,19 Crimes Warden Red,750mL,750.0,2
27005,Ghost Block Est Cab Svgn,750mL,750.0,2
27053,Ponte Vinho Verde Rose,750mL,750.0,2
27063,A Bichot Montagny 1er Cru 14,750mL,750.0,2
27094,Corvo Terrae Dei Nero d'Avol,750mL,750.0,2
27170,Damilano 11 Brunate Barolo,750mL,750.0,2
27178,Ridge Monte Bello Chard,750mL,750.0,2
27250,Forestville Cab Svgn Cal,750mL,750.0,2
27333,Night Harvest Cab Svgn,750mL,750.0,2
27534,Kiona Est Sangio Red Mtn,750mL,750.0,2
27562,Taylor Fladgate 1985 Porto,750mL,750.0,2
27566,Kiona Est Red Mountain Rsv R,750mL,750.0,2
27569,Kiona Washington State Cab S,750mL,750.0,2
27572,Kiona Late Harvest Chenin Bl,375mL,375.0,2
27613,Dominus 12 Christian Moueix,750mL,750.0,2
27698,Double Eagle Red Wine,750mL,750.0,2
27816,Jadot Ch des Jacques Flr 14,750mL,750.0,2
27827,Jadot Cote de Nuits Vaucrain,750mL,750.0,2
27880,Pine Ridge Cab Svgn,750mL,750.0,2
27900,Franzia Cab Svgn Cal,1.5L,1500.0,2
28005,Somerston Stornoway Red,750mL,750.0,2
28038,Andre Spumante Calif,750mL,750.0,2
28252,Steele Pacini Mendocno Znfdl,750mL,750.0,2
28275,Sheffield Very Dry Sherry,750mL,750.0,2
28316,Livingston Nat Flvrs Chard,1.5L,1500.0,2
28317,Livingston Wh Znfdl Cal,1.5L,1500.0,2
28323,M & R Bianco Vermouth,750mL,750.0,2
28567,Marquis de Riscal Rueda Wh,750mL,750.0,2
28639,Cadet d'Oc Chard Rothschild,750mL,750.0,2
28920,Gallo Twin Valley Merlot Cal,750mL,750.0,2
29155,Gallo Merlot Cal,187mL 4 Pk,187.0,2
29201,La Terre Cab Svgn,1.5L,1500.0,2
29202,La Terre Chard Cal,750mL,750.0,2
29203,La Terre Chard Cal,1.5L,1500.0,2
29207,La Terre Wh Znfdl,1.5L,1500.0,2
29558,Livingston Merlot Cal,1.5L,1500.0,2
29902,Au Bon Climate Pnt Nr,750mL,750.0,2
31323,Villa Maria Clr Slct Svgn Bl,750mL,750.0,2
31502,Barefoot Znfdl Cal,750mL,750.0,2
31503,Barefoot Znfdl Cal,1.5L,1500.0,2
31788,Livingston Cab Svgn Cal,1.5L,1500.0,2
32514,Hogue Cellars Genesis Merlot,750mL,750.0,2
32656,Turning Leaf RSV Pflz Pnt Nr,750mL,750.0,2
33067,Montevina Pnt Grigio Cal,750mL,750.0,2
33115,Beringer Classic Chenin Blan,1.5L,1500.0,2
33325,Jacobs Crk Merlot,750mL,750.0,2
33333,Cavit Merlot Trentino,187mL 4 Pk,750.0,2
34074,Girard Artistry Napa Vly Red,750mL,750.0,2
34101,Ch Ste Michelle Cab Svgn,750mL,750.0,2
34135,Turning Leaf RSV Merlot Cal,1.5L,1500.0,2
34136,Turning Leaf RSV Pnt Grigio,1.5L,1500.0,2
34339,Snoqualmie Svgn Bl Columbia,750mL,750.0,2
34395,Valckenberg Madonna Kabinet,750mL,750.0,2
34472,Carlo Rossi Chianti Cal,1.5L,1500.0,2
34474,Livingston Chianti Cal,1.5L,1500.0,2
34733,Lake Sonoma Cab Svgn AV,750mL,750.0,2
34822,Alice White Chard Ausl,750mL,750.0,2
34893,Banfi Rosa Regale,375mL,375.0,2
35180,Vendange Shiraz,1.5L,1500.0,2
35407,Blue Nun Rsl,750mL,750.0,2
35665,Redwood Creek Chard Cal,750mL,750.0,2
35837,Franzia Rhine Tap,5L,5000.0,2
36135,Foley Santa Maria Hil Pnt Nr,750mL,750.0,2
36155,De Villaine Bouzeron Aligot,750mL,750.0,2
36435,Vin Santo Castellani Somavte,500mL,500.0,2
36540,Liberty Creek Prem RSV Merlo,1.5L,1500.0,2
36868,Dunn Cab Svgn Howell Mtn,750mL,750.0,2
37526,Redwood Creek Pnt Grigio,750mL,750.0,2
37651,Glen Ellen Pnt Grigio RSV,750mL,750.0,2
37722,Jacobs Crk Shirz Rsv,750mL,750.0,2
37732,Corbett Canyon Merlot,3L,3000.0,2
37793,Blackstone Svgn Bl,750mL,750.0,2
37924,Five Rivers Chard,750mL,750.0,2
38108,Canyon Oaks Shiraz Cal,750mL,750.0,2
38109,Canyon Oaks Shiraz Cal,1.5L,1500.0,2
38641,Opici Marsala Cal,1.5L,1500.0,2
38728,Rancho Zabaco Svgn Bl Dancg,750mL,750.0,2
38853,Salmon Creek Chard Cal,750mL,750.0,2
39086,Corbett Canyon Pnt Grigio,1.5L,1500.0,2
39255,Las Rocas Garnacha Vinas Vi,750mL,750.0,2
39283,Concannon Svgn Bl Cntrl Cst,750mL,750.0,2
39346,Salmon Creek Wh Znfdl Cal,750mL,750.0,2
39414,Mirassou Svgn Bl Cal,750mL,750.0,2
39449,Ponzi Pnt Gris Willamette,750mL,750.0,2
39592,Redwood Creek Pnt Nr Calif,750mL,750.0,2
39601,R M Woodbridge Wh Znfdl Cal,187mL 4 Pk,187.0,2
39747,Foxhorn Pnt Grigio/Chard Bl,1.5L,1500.0,2
39765,Grahams 20-Yr Tawny Port,750mL,750.0,2
39998,Tisdale Shiraz Cal,750mL,750.0,2
40116,Marcus James Rsl,1.5L,1500.0,2
40455,Yellow Tail Cab/Merlot Ausl,750mL,750.0,2
41132,McManis Petite Sirah Cal,750mL,750.0,2
41133,McManis Viognier River Junct,750mL,750.0,2
41169,Vendange Cab Svgn,500mL,500.0,2
41354,Tomasello Cranberry Wine NJ,500mL,500.0,2
41375,Torres Tempranillo Coronas,750mL,750.0,2
41795,Corbett Canyon Cab Svgn,3L,3000.0,2
41983,Ridge Znfdl Paso Robles,750mL,750.0,2
42211,Parker Stn Snt Barbra Pnt Nr,750mL,750.0,2
42258,Chatom Cab Svgn Calaveras,750mL,750.0,2
42348,Livingston Sangria Natural,1.5L,1500.0,2
42436,Crane Lake Cab Svgn Cal,750mL,750.0,2
42439,Crane Lake Chard Cal,1.5L,1500.0,2
42643,Echelon CA Pnt Grigio,750mL,750.0,2
42671,Dynamite Mendocino Chard,750mL,750.0,2
42733,K Vntrs Milbrandt Col Syrah,750mL,750.0,2
42752,Five Oaks Chard Cal,750mL,750.0,2
42894,Rosenblum Hertg Petite Sirah,750mL,750.0,2
43289,Fish Eye Cab Svgn,1.5L,1500.0,2
43290,Fish Eye Chard,1.5L,1500.0,2
43291,Fish Eye Merlot,1.5L,1500.0,2
43293,Fish Eye Shiraz,1.5L,1500.0,2
43317,Salmon Creek Pnt Grigio Cal,750mL,750.0,2
43425,Chatom Gitano Sangiovese Cal,750mL,750.0,2
43452,Fish Eye Shiraz,3L,3000.0,2
43539,Fantinel Prosecco,750mL,750.0,2
43541,Carlo Rossi RSV Cab Svgn Cal,1.5L,1500.0,2
43544,Carlo Rossi RSV Chard Cal,4L,4000.0,2
43546,Carlo Rossi RSV Merlot Cal,4L,4000.0,2
43681,2 Up McLaren Vale Shiraz,750mL,750.0,2
43747,Terra D'Oro Pnt Grigio,750mL,750.0,2
43789,Happy Camper Cab Svgn,750mL,750.0,2
43790,Happy Camper Chard,750mL,750.0,2
43819,Little Black Dress Chard,750mL,750.0,2
43821,Little Black Dress Pnt Grigi,750mL,750.0,2
43916,Dom Lafage Cote Est Blanc,750mL,750.0,2
44176,Three Saints Cab Svgn,750mL,750.0,2
44177,Three Saints Snt Maria Chard,750mL,750.0,2
44249,Concannon Slt Vyd Pnt Grigio,750mL,750.0,2
44339,Irony Merlot Napa,750mL,750.0,2
44369,Gallo Twin Vly Moscato,750mL,750.0,2
44370,Gallo Twin Vly Moscato,1.5L,1500.0,2
44893,Dusted Vly Pitch Cab Svgn,750mL,750.0,2
44906,Guntrum Rheinhessen,750mL,750.0,2
45016,Neal One Lane Bridg Cab Svgn,750mL,750.0,2
45293,C K Mondavi Willw Pnt Grigio,750mL,750.0,2
45329,Nasiakos Agiorgitiko Rd,750mL,750.0,2
45446,Coastal Vines Cab Svgn Cal,750mL,750.0,2
45459,Sterling Cab Svgn Rutherford,750mL,750.0,2
45875,Gallo Twin Vly Pnt Grigio,1.5L,1500.0,2
45913,Gallo Twin Vly Pnt Grigio,750mL,750.0,2
45920,Yellow Tail Rsl,1.5L,1500.0,2
45991,Foris Rogue Vly Pnt Nr,750mL,750.0,2
46074,Turning Leaf Pnt Nr RSV VDP,1.5L,1500.0,2
46145,Gallo Pnt Nr Pavia,187mL 4 Pk,750.0,2
46308,Twisted Chard Cal,750mL,750.0,2
46378,Gallo Twin Vly Pnt Nr,750mL,750.0,2
46446,Vendange Wh Znfdl,500mL,500.0,2
46732,A by Acacia Chard Cal,375mL,375.0,2
46904,Banyan Gewurz Monterey,750mL,750.0,2
46929,Lindemans Bin 85 Pnt Grigio,750mL,750.0,2
7436,Belle de Brillet Pear Liquer,750mL,750.0,1
19072,Astoria Sparkling Moscato,750mL,750.0,2
24820,Ch Bourbon La Chapelle Medoc,750mL,750.0,2
44063,Valentin Bianchi Elsa Malbec,750mL,750.0,2
7328,New Amsterdam Citron Vodka,750mL,750.0,1
21324,Rosatello Sweet Rose,750mL,750.0,2
22918,Blossom Hill Merlot,1.5L,1500.0,2
8535,Arrow Peppermint Schnapps,375mL,375.0,1
8979,Bols Cassis Foam,200mL,200.0,1
16664,Eden Northern Spy 09 Cider,375mL,375.0,2
19511,DeMorgenzon DMZ Cab Rose,750mL,750.0,2
